title,company,metro,link
Аналитик,Frank RG,Динамо и еще 1 ,https://hh.ru/vacancy/76026036?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных в подразделение мониторинга проектного финансирования,АО ДОМ.РФ,Арбатская,https://hh.ru/vacancy/76680574?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных / Data Analyst,Сбер. Экспертам и руководителям,,https://hh.ru/vacancy/69166398?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик (отдел коммерческой и товарной аналитики),BNS Group,Бауманская и еще 1 ,https://hh.ru/vacancy/76450682?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик программ лояльности,Франчайзинговая розничная сеть Галамарт,Парк культуры и еще 1 ,https://hh.ru/vacancy/74170810?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Ведущий аналитик данных,"билайн: ИТ, Data, Digital",Достоевская и еще 2 ,https://hh.ru/vacancy/75784273?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик HR,ПАО Промсвязьбанк,,https://hh.ru/vacancy/76649813?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Букмекер-аналитик,WINLINE. IT & TECH,Тульская,https://hh.ru/vacancy/76326935?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Финансовый аналитик,ООО Тагес Джамп,Автозаводская и еще 2 ,https://hh.ru/vacancy/71653349?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Интернет-маркетолог,ООО МедЗнания,Парк культуры и еще 2 ,https://hh.ru/vacancy/75534937?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
